0	数据分析师	将台路	21:00发布	15k-25k	15k-25k 经验3-5年 / 本科	用户研究 需求分析 数据分析 用户增长	“五险一金 免费工作餐 定期体检”	移动互联网,文娱丨内容 / 不需要融资 / 15-50人	百变大侦探
1	数据分析师	望京	19:09发布	10k-20k	10k-20k 经验1-3年 / 本科	竞品分析 SaaS 企业软件	“风控独角兽、飞速发展、待遇给力”	企业服务,数据服务 / C轮 / 150-500人	数美
2	数据分析专员	立水桥	20:37发布	10k-15k	10k-15k 经验1-3年 / 本科	SQL python Linux系统	“午晚餐；六险一金；高效协作的团队；信息共享；”	移动互联网 / 不需要融资 / 50-150人	琥珀创想
3	数据分析师	朝阳区	19:21发布	8k-15k	8k-15k 经验不限 / 不限	企业服务 信息安全 需求分析 竞品分析 数据分析	“五险一金 双休 每年两次国内外游 弹性工作”	金融 / 未融资 / 50-150人	盛业恒泰投资
4	数据分析	朝阳区	19:16发布	15k-30k	15k-30k 经验3-5年 / 本科	大数据 数据挖掘	“大平台,核心部门,领导好”	信息安全 / 不需要融资 / 500-2000人	360os
5	数据分析	朝阳区	19:22发布	15k-30k	15k-30k 经验1-3年 / 本科	SQL Python	“试用期全薪 季度奖金 节日福利”	移动互联网 / B轮 / 50-150人	流体网络
6	数据分析师	三元桥	19:26发布	15k-20k	15k-20k 经验1-3年 / 本科	视频 产品策划 需求分析 数据分析	“互联网公司”	移动互联网,文娱丨内容 / 上市公司 / 50-150人	欢喜传媒
7	数据分析师	西二旗	14:26发布	10k-20k	10k-20k 经验5-10年 / 本科	数据分析 BI	“国际化团队”	硬件 / 上市公司 / 2000人以上	小米集团
8	数据分析师	朝阳区	19:00发布	15k-20k	15k-20k 经验1-3年 / 不限	直播	“上市公司，大神团队”	文娱丨内容 / 上市公司 / 500-2000人	映客
9	数据分析师	朝阳区	16:35发布	15k-25k	15k-25k 经验1-3年 / 本科	大数据 汽车 Python MySQL R	“发展空间 学习成长 扁平化管理”	移动互联网,电商 / 不需要融资 / 150-500人	邦邦汽服
10	数据分析师	小关	17:41发布	11k-20k	11k-20k 经验不限 / 本科	数据分析	“成熟团队，上升空间”	移动互联网 / 上市公司 / 2000人以上	世纪佳缘
