0	高级数据分析师	同德	19:49发布	12k-18k	12k-18k 经验3-5年 / 不限	电商 社交 增长黑客 数据分析 数据运营 SQL	“五险一金/绩效奖金/全勤奖/创新奖”	电商 / 不需要融资 / 2000人以上	广州棒谷科技股份有限公司
1	高级数据分析师	芳村	19:54发布	12k-24k	12k-24k 经验3-5年 / 本科	电商 数据模型 数据预测 商业分析 客服数据	“股票期权 周末双休 包三餐 免息住房贷款”	电商 / 上市公司 / 2000人以上	唯品会
2	数据分析师	天河区	17:30发布	10k-15k	10k-15k 经验1-3年 / 本科	用户研究 需求分析 竞品分析 数据分析	“AI大数据朝阳行业 扁平化管理 互联网氛围”	数据服务 / B轮 / 150-500人	DataStory
3	数据分析	越秀区	10:42发布	15k-25k	15k-25k 经验1-3年 / 本科	金融 移动互联网 数据挖掘	“银行系金融科技公司”	金融,软件开发 / 不需要融资 / 2000人以上	建信金科
4	数据分析师	员村	16:10发布	12k-24k	12k-24k 经验3-5年 / 本科	通信/网络设备 数据分析	“团队实力 晋升完善”	移动互联网,数据服务 / A轮 / 150-500人	贝锐科技
5	数据分析	岭南	15:42发布	15k-25k	15k-25k 经验3-5年 / 本科	ETL BI	“周末双休、五险一金”	教育,游戏 / B轮 / 2000人以上	快乐种子
6	数据分析师	南沙区	14:08发布	10k-16k	10k-16k 经验3-5年 / 本科	汽车 移动互联网 网站分析 数据分析 用户增长	“全新商业模式，用户型企业”	汽车丨出行 / A轮 / 150-500人	广汽蔚来
7	数据分析师	员村	16:28发布	6k-12k	6k-12k 经验1-3年 / 本科	数据分析 数据运营	“做五休二，季度绩效、五险一金、定期团建”	数据服务,人工智能 / 不需要融资 / 150-500人	上海浩宜信息科技有限公司
8	数据分析师	珠江新城	14:30发布	13k-23k	13k-23k 经验1-3年 / 本科	新零售 大数据 增长黑客 数据分析 SPSS SQL	“七险二金，通信补贴，交通补贴，健康体检，”	移动互联网 / 上市公司 / 2000人以上	广东联通
9	数据分析师	清河东路	13:51发布	7k-12k	7k-12k 经验1-3年 / 大专	电商 移动互联网 数据分析 商业	“团队氛围好,福利棒,发展空间大,领导好”	电商 / C轮 / 500-2000人	盈富斯
10	数据分析师	番禺区	11:19发布	15k-25k	15k-25k 经验3-5年 / 本科	需求分析 数据分析 商业分析	“六险一金 年终奖 季度奖金 加班补贴”	移动互联网 / C轮 / 150-500人	乐摇摇
11	数据分析师	黄花岗	11:12发布	10k-15k	10k-15k 经验3-5年 / 本科	数据库 数据分析 SQL Python	“双休 全薪五险一金 商业保险 十三薪”	数据服务 / 上市公司 / 500-2000人	HCR
12	数据分析师	珠江新城	10:45发布	8k-15k	8k-15k 经验不限 / 本科	数据分析	“双休；完善的职业发展体系；广阔的发展前景”	金融 / 不需要融资 / 2000人以上	广发银行信用卡中心
