0	资深数据分析师	西湖区	17:57发布	15k-25k	15k-25k 经验3-5年 / 本科	数据分析 BI	“发展前景好 福利待遇优”	电子商务 / 不需要融资 / 150-500人	政采云
1	数据分析师	西湖	17:41发布	15k-30k	15k-30k 经验5-10年 / 本科	电商 Hive	“垂直电商”	移动互联网,电商 / A轮 / 500-2000人	微拍堂
2	数据分析师	江干区	16:55发布	15k-25k	15k-25k 经验3-5年 / 本科	数据分析	“发展前景大”	移动互联网,电商 / A轮 / 150-500人	南讯股份
3	数据分析师	江干区	17:18发布	15k-25k	15k-25k 经验1-3年 / 本科	工业互联网 ERP BI python SQL	“试用期同薪 前景好 工业互联网行业”	移动互联网 / 未融资 / 150-500人	蒲惠智造
4	数据分析师	西湖区	16:14发布	10k-15k	10k-15k 经验1-3年 / 本科	电商 数据分析 数据运营	“周末双休,五险一金,活动丰富,氛围超嗨”	电商 / 不需要融资 / 150-500人	网营科技
5	数据分析专家	西湖区	14:11发布	15k-30k	15k-30k 经验3-5年 / 本科	电商 数据分析 数据运营	“弹性工作,免费三餐,租房补贴,带薪休假”	文娱丨内容 / D轮及以上 / 2000人以上	字节跳动
6	数据分析师	西湖区	11:16发布	15k-25k	15k-25k 经验3-5年 / 本科	游戏 数据分析	“五险一金”	移动互联网,游戏 / 不需要融资 / 2000人以上	边锋
7	数据分析师	余杭区	11:10发布	12k-24k	12k-24k 经验1-3年 / 本科	教育 大数据 需求分析 竞品分析 数据分析 用户研究	“发展前景、福利待遇、弹性时间”	移动互联网,数据服务 / B轮 / 15-50人	杭州布谷科技有限责任公司
8	数据分析师	拱墅区	09:30发布	10k-17k	10k-17k 经验3-5年 / 本科	数据分析	“五险一金、包吃、健身房、带薪年假”	移动互联网,广告营销 / D轮及以上 / 2000人以上	浙江盘石
9	数据分析师	滨江区	10:20发布	10k-15k	10k-15k 经验1-3年 / 本科	SQL	“五险一金，年终奖”	数据服务 / 不需要融资 / 150-500人	睿琪软件
10	数据分析师	湖墅南路	08:29发布	15k-20k	15k-20k 经验3-5年 / 本科	大数据 企业服务 数据分析	“自主的工作，一流的福利”	移动互联网,电商 / 未融资 / 150-500人	汇信科技
11	数据分析	西湖区	09:28发布	7k-14k	7k-14k 经验1-3年 / 本科	数据仓库 数仓架构 数仓工程师	“发展前景、周末双休”	移动互联网,电商 / B轮 / 150-500人	年糕妈妈
12	资深数据分析	西溪	17:59发布	12k-24k	12k-24k 经验3-5年 / 本科	广告营销	“业务发展快，福利多多，团队靠谱。”	移动互联网 / 上市公司 / 500-2000人	兑吧
13	数据分析师（BI）	西湖区	16:21发布	15k-28k	15k-28k 经验3-5年 / 本科	电商 ETL SQLServer Python	“大牛欢乐多，公司福利好”	消费生活 / D轮及以上 / 500-2000人	婚礼纪
14	BI数据分析师	西溪	13:43发布	10k-20k	10k-20k 经验3-5年 / 本科	商品分析 BI 数据分析 报表可视化	“发展空间大，福利多”	企业服务,消费生活 / A轮 / 150-500人	达摩网络
15	资深数据分析师	杭州	19:37发布	25k-40k	25k-40k 经验5-10年 / 本科	支付	“发展前景大”	移动互联网 / 不需要融资 / 500-2000人	连连支付
16	高级数据分析师	杭州	19:36发布	25k-40k	25k-40k 经验5-10年 / 本科	支付	“发展前景大”	移动互联网 / 不需要融资 / 500-2000人	连连支付
17	数据分析师	江干区	18:22发布	20k-30k	20k-30k 经验3-5年 / 本科	新零售 数据分析	“交通便利 五险一金 扁平管理”	移动互联网,电商 / A轮 / 150-500人	南讯股份
18	数据分析师	西湖	17:41发布	20k-40k	20k-40k 经验5-10年 / 本科	电商	“垂直电商”	移动互联网,电商 / A轮 / 500-2000人	微拍堂
19	数据分析师	西湖区	18:20发布	20k-40k	20k-40k 经验5-10年 / 本科	电商 数据分析	“双休，五险一金，年假，发展空间广阔”	移动互联网,金融 / A轮 / 50-150人	跳蛙科技
20	数据分析师	西兴	13:58发布	35k-60k	35k-60k 经验3-5年 / 本科	数据分析 市场数据	“知名创始团队 高潜项目 期权激励”	教育 / 天使轮 / 50-150人	好多素教
21	数据分析师	下沙	11:07发布	4k-8k	4k-8k 经验在校/应届 / 本科	竞品分析 数据分析	“五险一金、半年调薪”	数据服务 / A轮 / 15-50人	炼数科技
22	数据分析实习生	长河	11:29发布	3k以上	3k以上 经验在校/应届 / 本科	商业 数据分析	“周末双休，五险一金，节日福利”	电商,数据服务 / A轮 / 15-50人	酷宝数据
23	数据分析实习生	天水	08:56发布	1k-2k	1k-2k 经验在校/应届 / 本科	媒体 大数据 商业 数据分析 数据运营 BI	“平台前景、行业背景、个人发展、团队年轻”	移动互联网,企业服务 / 上市公司 / 500-2000人	浙数文化
24	商业数据分析师(J200512030)	余杭区	18:41发布	18k-35k	18k-35k 经验3-5年 / 本科	滴滴	“广阔平台、核心项目、诱人福利”	汽车丨出行 / 不需要融资 / 2000人以上	滴滴
25	数据分析负责人 or 数据分析师	西溪	18:37发布	25k-50k	25k-50k 经验3-5年 / 本科	数据分析 MySQL 数据挖掘	“PB量级数据 核心项目 食堂班车健身房”	金融,电商 / 上市公司 / 2000人以上	同花顺
26	大数据分析工程师	下城区	15:13发布	15k-30k	15k-30k 经验3-5年 / 本科	数据挖掘 数据分析 用户画像	“发展前景好 团队优秀 业务发展快”	游戏,移动互联网 / 上市公司 / 150-500人	浮云网络
27	资深数据分析师 (MJ000007)	余杭区	14:29发布	14k-18k	14k-18k 经验3-5年 / 本科	电商	“六险一金、带薪年假、培训、年终奖”	数据服务,广告营销 / A轮 / 150-500人	多准大数据
28	数据分析师（电商方向）	余杭区	13:39发布	12k-18k	12k-18k 经验3-5年 / 本科	电商 数据分析	“五险一金；年终奖”	移动互联网,数据服务 / 不需要融资 / 150-500人	华坤道威
