0	数据分析师	玄武区	21:10发布	15k-25k	15k-25k 经验3-5年 / 本科	数据分析	“平台大”	旅游 / 上市公司 / 2000人以上	同程旅行
1	数据分析工程师	雨花台区	3天前发布	13k-26k	13k-26k 经验3-5年 / 本科	ETL MySQL 数据库开发	“互联网独角兽，晋升空间大，牛人云集，氛围open”	移动互联网 / D轮及以上 / 2000人以上	满帮集团
2	数据分析师	安德门	2020-12-23	8k-12k	8k-12k 经验1-3年 / 本科	数据分析	“大数据技术服务公司 数据分析领域专家”	移动互联网,金融 / B轮 / 150-500人	安讯科技
3	数据分析师	秦淮区	2020-12-23	12k-24k	12k-24k 经验3-5年 / 本科	B2B	“14薪、季度旅游、年度体检、愉快的团队氛围”	人工智能,物联网 / B轮 / 50-150人	清云智飞
4	数据分析师	奥体	2020-12-11	8k-15k	8k-15k 经验1-3年 / 本科	大数据 电力 需求分析 数据分析	“行业前景广阔，福利待遇佳”	数据服务,软件开发 / 不需要融资 / 150-500人	佰聆数据
5	医药数据分析师(疫苗方向)	鼓楼区	2020-12-23	8k-16k	8k-16k 经验1-3年 / 硕士	医疗健康 大数据 数据分析	“带薪年假 定期体检 扁平管理 发展空间大”	移动互联网,医疗丨健康 / 天使轮 / 15-50人	医药魔方
6	数据分析（南京）	秦淮区	2020-12-17	10k-15k	10k-15k 经验1-3年 / 本科	数据挖掘 数据分析	“弹性工作,氛围轻松”	移动互联网 / 不需要融资 / 500-2000人	飞常准
7	数据分析与报表开发	江宁区	2020-12-16	8k-14k	8k-14k 经验1-3年 / 本科	ETL 数据仓库	“发现数据价值，提供更好使用数据的方式”	移动互联网,企业服务 / A轮 / 50-150人	Wishare
8	数据分析	雨花台区	2020-11-13	10k-15k	10k-15k 经验1-3年 / 本科	MySQL	“高端平台 五险一金 年终奖 带薪年假”	移动互联网 / 不需要融资 / 50-150人	软维科技
9	电商数据分析 (MJ002713)	雨花台区	2020-11-19	8k-12k	8k-12k 经验1-3年 / 本科	数据分析 跨境电商	“五险一金 年底双薪 绩效奖金 晋升涨薪”	电商,移动互联网 / C轮 / 2000人以上	SHEIN
10	数据分析主管	阅江楼	2020-10-27	15k-20k	15k-20k 经验5-10年 / 大专	SQL 数据运营 数据分析 数据库	“五险 工龄 房补 餐补 生日会”	医疗丨健康 / C轮 / 500-2000人	创宏纪网络
11	电商数据分析师 (MJ002279)	雨花台区	2020-11-09	9k-15k	9k-15k 经验3-5年 / 本科	电商 数据分析	“五险一金 年底双薪 绩效奖金 晋升涨薪”	电商,移动互联网 / C轮 / 2000人以上	SHEIN
