0	数据分析师	北蔡	19:56发布	10k-20k	10k-20k 经验1-3年 / 本科	金融 数据分析	“氛围好,商业医疗险”	金融 / C轮 / 150-500人	萨摩耶数科
1	数据分析师	华漕	17:02发布	12k-18k	12k-18k 经验3-5年 / 本科	教育 企业服务 数据库 BI SQL 数据分析	“上市公司、创新氛围强、团队凝聚力、发展空间大”	教育 / 不需要融资 / 500-2000人	行动教育
2	数据分析师	徐家汇	17:41发布	12k-20k	12k-20k 经验不限 / 本科	大数据 新零售	“福利待遇优厚，发展空间大，团队氛围好”	企业服务,数据服务 / 未融资 / 50-150人	久谦咨询
3	数据分析师	杨浦区	17:01发布	10k-18k	10k-18k 经验3-5年 / 本科	数据分析	“交通便利 待遇良好 晋升机会 技术大牛”	移动互联网 / A轮 / 50-150人	上海众调科技
4	数据分析师	六里	18:02发布	10k-16k	10k-16k 经验1-3年 / 本科	电商 数据分析	“发展前景好 团队氛围佳 注重个人成长”	软件开发 / 未融资 / 150-500人	杉欣集团
5	数据分析师	虹梅路	17:49发布	15k-25k	15k-25k 经验3-5年 / 本科	电商 数据分析	“晋升空间 潜力大 有挑战性”	电商 / C轮 / 150-500人	一条视频
6	高级数据分析师	徐家汇	18:13发布	8k-15k	8k-15k 经验1-3年 / 本科	新零售 CRM BI SQL 数据分析	“五险一金 综合实力强”	企业服务,数据服务 / C轮 / 150-500人	数云
7	数据分析师	北新泾	17:50发布	15k-25k	15k-25k 经验1-3年 / 本科	旅游 大数据 ETL Hive 数据分析 数据处理	“技术大牛群集，年度旅游，晋升机会”	旅游 / 上市公司 / 2000人以上	携程集团
8	数据分析师	杨浦区	17:30发布	15k-20k	15k-20k 经验1-3年 / 本科	消费者分析 数据分析	“五险一金 周末双休 扁平管理 氛围轻松”	数据服务 / B轮 / 150-500人	DataStory
9	数据分析师	徐汇区	16:00发布	15k-30k	15k-30k 经验3-5年 / 本科	数据分析	“岗位晋升空间大、平台好”	社交 / B轮 / 500-2000人	比心陪练
10	数据分析师	金桥	15:43发布	15k-25k	15k-25k 经验5-10年 / 本科	数据分析 SQL 数据建模	“年终奖 带薪年假 交通补助 通讯津贴等”	移动互联网,文娱丨内容 / 不需要融资 / 2000人以上	咪咕
