0	数据分析师	南山区	20:10发布	10k-15k	10k-15k 经验1-3年 / 本科	数据仓库 ETL 数仓建模 数仓架构	“奖金、五险一金、发展前景广”	广告营销,数据服务 / A轮 / 50-150人	玉策数据
1	数据分析师	南山区	20:16发布	8k-15k	8k-15k 经验3-5年 / 本科	即时通讯 社交 数据分析 用户增长	“高速发展期，前景好，团队强，成长快”	社交 / 天使轮 / 15-50人	喵石科技
2	数据分析师	石厦	17:12发布	12k-24k	12k-24k 经验3-5年 / 本科	大数据 移动互联网 Hadoop Spark Python ETL	“500强,快速晋升,多元发展”	移动互联网,信息安全 / 上市公司 / 2000人以上	深圳联通
3	数据分析师	南山区	17:10发布	12k-20k	12k-20k 经验3-5年 / 本科	大数据 云计算 可视化 商业 数据分析 数据建模	“扁平化管理 行业大神 周末双休”	数据服务,软件开发 / 不需要融资 / 15-50人	中付技术
4	数据分析师	科技园	19:56发布	10k-15k	10k-15k 经验不限 / 本科	金融 数据分析	“精英团队,弹性工作,工作氛围好”	金融 / C轮 / 150-500人	萨摩耶数科
5	数据分析师	南山区	18:36发布	12k-20k	12k-20k 经验1-3年 / 本科	数字 统计 数据运营 python/R	“行业领先，发展空间大，福利待遇好”	游戏 / 不需要融资 / 150-500人	星尘游戏
6	数据分析师	南山区	18:01发布	10k-20k	10k-20k 经验1-3年 / 本科	新零售 本地生活 SQL 数据运营 数据库	“朝阳行业”	移动互联网 / 不需要融资 / 50-150人	懒人科技
7	数据分析师	南山区	18:49发布	16k-20k	16k-20k 经验3-5年 / 本科	移动互联网 数据分析 项目管理 业务数据 经营分析	“周末双休,行业独角兽,快速成长”	移动互联网,消费生活 / B轮 / 2000人以上	来电科技
8	高级数据分析师	福田区	18:01发布	15k-25k	15k-25k 经验3-5年 / 本科	电商 新零售 数据库 数据分析 SPSS SQL	“朝阳行业 牛人聚集 领导nice 团队和谐”	移动互联网 / 不需要融资 / 50-150人	懒人科技
9	高级数据分析师	宝安区	18:03发布	15k-25k	15k-25k 经验3-5年 / 本科	Python 数据挖掘 SQL 数据分析	“带薪年假，五险一金，车补，下午茶，包住”	消费生活,移动互联网 / 未融资 / 150-500人	万顺叫车
10	数据分析师	南山区	17:53发布	15k-22k	15k-22k 经验3-5年 / 本科	ETL Tableau SQL PowerBI	“双休，年终奖，入职即买五险一金”	信息安全,移动互联网 / 未融资 / 15-50人	瑞达飞行
11	数据分析师	益田村	18:13发布	8k-15k	8k-15k 经验1-3年 / 本科	新零售 汽车 SQLServer Python 数仓建模 数据仓库	“发展前景、环境优美、团队氛围好”	移动互联网,消费生活 / B轮 / 500-2000人	优车库
12	数据分析师	福田区	16:13发布	13k-24k	13k-24k 经验3-5年 / 本科	金融 银行 数据分析 python	“周末双休 项目稳定”	移动互联网,金融 / 不需要融资 / 2000人以上	文思海辉·金融
13	数据分析师	南山区	15:16发布	12k-18k	12k-18k 经验3-5年 / 本科	数据分析 MYSQL	“发展前景”	移动互联网 / C轮 / 150-500人	skyroam
14	数据分析师	南山区	16:08发布	15k-28k	15k-28k 经验5-10年 / 本科	数据架构	“空间大 发展好”	企业服务 / 不需要融资 / 150-500人	思为软件
15	数据分析	福田区	20:14发布	20k-25k	20k-25k 经验3-5年 / 本科	用户画像分析	“平台大、福利好、互联网保险业务”	电商,金融 / D轮及以上 / 2000人以上	富德生命人寿总公司电子商务中心
16	数据分析师	南山区	18:19发布	20k-40k	20k-40k 经验3-5年 / 本科	数据分析	“公司平台大 核心团队”	硬件 / 不需要融资 / 2000人以上	OPPO
17	数据分析实习生	大冲	18:11发布	3k-5k	3k-5k 经验1年以下 / 本科	数据分析 SQL Python	“热门行业、公司发展快、氛围好、双休”	移动互联网,教育 / A轮 / 50-150人	HelloTalk
18	数据分析师	新安	16:22发布	8k-16k	8k-16k 经验1-3年 / 本科	电商 教育 用户增长 数据分析	“行业黑马,丰厚奖金,核心成员,五险一金”	教育 / 不需要融资 / 150-500人	BT学院
19	数据分析师	南山区	16:45发布	10k-14k	10k-14k 经验1-3年 / 本科	医疗健康 可视化 数据分析 BI SQL	“六险一金，年度体检，团队旅游”	移动互联网,医疗丨健康 / 不需要融资 / 150-500人	玄关健康
20	高级数据分析师	大冲	17:15发布	8k-12k	8k-12k 经验1-3年 / 本科	广告营销 企业服务 用户研究 需求分析 竞品分析 数据分析	“六险一金 年终奖金 年度体检 超长假期”	数据服务,广告营销 / D轮及以上 / 2000人以上	明略科技集团
21	数据分析师	南山区	16:40发布	7k-14k	7k-14k 经验1-3年 / 本科	教育 企业服务 商业 数据分析 数据运营 BI	“CEO指导、氛围好、十三薪、带薪年假”	企业服务,教育 / A轮 / 50-150人	人人都是产品经理
22	数据分析专家	南山区	15:05发布	15k-25k	15k-25k 经验3-5年 / 本科	广告营销 医疗健康	“微博平台 丰厚年终 大牛团队 行业准独角兽”	医疗丨健康,移动互联网 / D轮及以上 / 150-500人	爱问医联
