0	数据分析师-郑州	中原区	17:04发布	8k-15k	8k-15k 经验3-5年 / 本科	数据采集	“五险一金,午餐补助,补充医疗,14薪”	数据服务 / C轮 / 500-2000人	神策数据
1	高级数据分析师（五险一金+双休+丰厚福利）	中原区	2天前发布	10k-15k	10k-15k 经验3-5年 / 本科	大数据 Python	“公司发展前景好，团队实力强”	移动互联网,游戏 / B轮 / 500-2000人	安徽省刀锋网络科技有限公司
2	自动驾驶数据分析工程师	郑东新区	2020-12-24	10k-20k	10k-20k 经验在校/应届 / 本科	测试开发 ubuntu git docker	“大牛导师一带一培养”	移动互联网,企业服务 / B轮 / 150-500人	文远知行
3	数据分析	经开区	2020-12-04	10k-20k	10k-20k 经验5-10年 / 本科	大数据 移动互联网 数据库 BI SQL	“五险一金 绩效奖金 带薪休假 定期体检”	电商,数据服务 / 上市公司 / 2000人以上	富士康科技集团
4	数据分析	北环	2020-12-23	4k-8k	4k-8k 经验不限 / 大专	ETL	“双休，五险一金，项目奖金”	数据服务 / B轮 / 少于15人	河皓大数据
5	数据分析师	二七区	2020-11-08	4k-6k	4k-6k 经验不限 / 本科	电力 数据分析	“国家电网 信息系统数据分析师”	人工智能,软件开发 / 不需要融资 / 15-50人	飙风信息
6	数据分析师（中级、高级）	郑东新区	2020-11-16	15k-30k	15k-30k 经验1-3年 / 本科	数据挖掘	“五险一金 住房餐贴 带薪年假 交通补助”	金融 / 上市公司 / 2000人以上	中原银行
7	大数据分析师实习生	中原区	2020-12-24	9k-18k	9k-18k 经验不限 / 大专	视频 工具软件 数据挖掘 大数据运维 网络 IT支持	“五险一金，年底分红”	软件开发、VR丨AR / 未融资 / 150-500人	掌乐多软件
8	数据分析	郑东新区	2020-11-24	6k-10k	6k-10k 经验3-5年 / 本科	数仓建模 数据挖掘	“发展前景好、团队氛围好、双休、五险”	移动互联网 / 不需要融资 / 50-150人	宾果雅通
9	数据分析师	高新区	2020-11-27	12k-24k	12k-24k 经验3-5年 / 本科	人工智能 机器学习 深度学习 推荐	“六险两金,扁平化,高福利,高奖励”	移动互联网 / 不需要融资 / 2000人以上	中移在线服务有限公司
10	大数据分析师助理（单休）	高新区	2020-12-22	3k-6k	3k-6k 经验在校/应届 / 不限	大数据	“双休，五险一金”	软件开发 / 未融资 / 50-150人	土工干
11	数据分析师	管城回族区	2020-09-26	6k-12k	6k-12k 经验1-3年 / 本科	数据分析 BI SQL	“五险一金 大牛带队 公司重点项目”	教育 / 未融资 / 2000人以上	修齐治平
